2,5.915,241.56,111.01,14.654
2.5,6.8022,240.67,115.59,17.527
3,7.6895,239.79,120.17,20.155
3.5,8.5767,238.9,124.75,22.567
4,9.464,238.01,129.34,24.784
4.5,10.14,237.34,133.92,26.852
5,10.816,236.66,138.5,28.766
5.5,11.492,235.98,143.09,30.542
6,12.168,235.31,147.67,32.192
6.5,12.802,234.67,152.25,33.733
7,13.436,234.04,156.83,35.172
7.5,14.069,233.41,161.42,36.515
8,14.703,232.77,166,37.771
8.5,15.252,232.22,170.58,38.961
9,15.802,231.67,175.17,40.079
9.5,16.351,231.13,179.75,41.129
10,16.9,230.58,184.33,42.117
10.5,17.407,230.07,188.91,43.055
11,17.914,229.56,193.5,43.94
11.5,18.421,229.06,198.08,44.775
12,18.928,228.55,202.66,45.565
12.5,19.435,228.04,207.25,46.311
13,19.942,227.53,211.83,47.016
13.5,20.449,227.03,216.41,47.684
14,20.956,226.52,220.99,48.317
14.5,21.421,226.06,225.58,48.925
15,21.886,225.59,230.16,49.502
15.5,22.35,225.13,234.74,50.05
16,22.815,224.66,239.33,50.571
