2,169.9,17.554,65.176,0.8145,0.55904
2.5,164.09,21.417,64.494,0.78668,0.68206
3,158.29,25.28,63.248,0.75886,0.80508
3.5,152.49,29.142,61.662,0.73103,0.9281
4,146.68,33.005,59.855,0.70321,1.0511
4.5,142.26,36.868,58.464,0.68201,1.1741
5,137.84,40.731,56.972,0.66081,1.2972
5.5,133.42,44.593,55.404,0.63961,1.4202
6,128.99,48.456,53.779,0.61841,1.5432
6.5,124.85,52.319,52.225,0.59853,1.6662
7,120.7,56.182,50.636,0.57866,1.7892
7.5,116.56,60.045,49.02,0.55879,1.9122
8,112.41,63.907,47.38,0.53891,2.0353
8.5,108.82,67.77,45.954,0.52169,2.1583
9,105.23,71.633,44.514,0.50446,2.2813
9.5,101.63,75.496,43.061,0.48724,2.4043
10,98.04,79.358,41.596,0.47001,2.5273
10.5,94.724,83.221,40.24,0.45411,2.6504
11,91.407,87.084,38.876,0.43821,2.7734
11.5,88.091,90.947,37.504,0.42231,2.8964
12,84.774,94.81,36.127,0.40641,3.0194
12.5,81.458,98.672,34.745,0.39051,3.1424
13,78.141,102.54,33.357,0.37462,3.2654
13.5,74.825,106.4,31.966,0.35872,3.3885
14,71.508,110.26,30.571,0.34282,3.5115
14.5,68.468,114.12,29.29,0.32824,3.6345
15,65.428,117.99,28.007,0.31367,3.7575
15.5,62.388,121.85,26.721,0.29909,3.8805
16,59.347,125.71,25.433,0.28452,4.0036
